Date,Ticker,stock_p_change,SP500_p_change,model,outperformance,predicted_outperformance_probability
2012-03-16 06:16:11,siri,40.14,13.54,extra_trees,26.6,0.7607537155347757
2012-03-18 08:32:39,gt,10.28,12.91,extra_trees,-2.630000000000001,0.5518229924632286
2012-03-19 03:13:18,whr,51.82,12.21,extra_trees,39.61,0.5668301138006598
2012-03-19 15:36:23,unp,28.85,12.21,extra_trees,16.64,0.5197795295287019
2012-03-20 09:56:00,akam,-3.54,13.32,extra_trees,-16.86,0.5662015583794335
2012-03-20 11:47:16,lsi,34.95,13.32,extra_trees,21.630000000000003,0.6705877681145282
2012-03-21 16:29:37,s,117.99,12.54,extra_trees,105.44999999999999,0.7577327226606144
2012-03-23 11:55:17,rsh,11.6,13.9,extra_trees,-2.3000000000000007,0.5480955485224958
2012-03-24 15:41:10,ma,25.25,13.9,extra_trees,11.35,0.7247612832819793
2012-03-24 20:52:28,mrk,20.15,13.9,extra_trees,6.249999999999998,0.5785094543542146
2012-03-24 22:56:43,low,25.54,13.9,extra_trees,11.639999999999999,0.5383843822812009
2012-03-28 22:01:09,jci,20.62,14.01,extra_trees,6.610000000000001,0.5723989654071445
2012-03-29 16:40:44,wdc,21.9,14.21,extra_trees,7.689999999999998,0.5406758565765136
2012-03-29 20:32:53,sti,20.24,14.21,extra_trees,6.029999999999998,0.5926326411448077
2012-03-30 03:54:23,mrk,19.74,13.74,extra_trees,5.999999999999998,0.5749919009179427
2012-03-30 05:44:15,abt,26.71,13.74,extra_trees,12.97,0.5008986029618755
2012-03-31 04:06:25,ea,7.34,13.74,extra_trees,-6.4,0.5351323591431991
2012-04-03 20:21:23,phm,120.02,12.33,extra_trees,107.69,0.6137139517687237
2012-04-05 17:48:40,twx,61.92,13.46,extra_trees,48.46,0.5031212231595499
2012-04-20 13:41:10,low,22.86,15.21,extra_trees,7.649999999999999,0.5241832198412707
2012-04-21 12:27:28,hov,147.24,15.21,extra_trees,132.03,0.6852728521716063
2012-04-21 13:17:23,len,48.84,15.21,extra_trees,33.63,0.5334240266813844
2012-04-22 16:26:13,ntri,-26.32,15.73,extra_trees,-42.05,0.529300972940969
2012-04-24 04:51:29,unp,39.04,17.54,extra_trees,21.5,0.512001917214036
2012-04-27 20:57:19,rsh,17.15,15.22,extra_trees,1.929999999999998,0.5539485250722295
2012-05-01 11:56:52,bac,46.75,14.96,extra_trees,31.79,0.7106867777929767
2012-05-14 08:31:06,dnb,44.34,25.95,extra_trees,18.390000000000004,0.5404796793398046
2012-05-15 15:13:11,aapl,-9.81,27.35,extra_trees,-37.160000000000004,0.7932966353652684
2012-05-18 20:33:27,goog,51.43,31.53,extra_trees,19.9,0.5830834189354386
2012-05-19 01:45:21,ge,28.35,31.53,extra_trees,-3.1799999999999997,0.5319250078398539
2012-05-19 10:36:18,v,69.17,31.53,extra_trees,37.64,0.5129032573117556
