model,Date,Ticker,Sector,position_weight,position_dollars,transaction_cost_pct,gross_contribution_pct,net_contribution_pct,benchmark_contribution_pct,net_outperformance_contribution_pct,predicted_outperformance_probability
random_forest,2012-06-20 09:37:20,s,Unknown,0.005121223493712979,512.1223493712979,0.0012803058734282447,0.6446596133885898,0.6433793075151616,0.10063204165146003,0.5427472658637016,0.6467747330675307
random_forest,2012-07-23 18:32:30,aeo,Unknown,0.0051111797149626685,511.1179714962669,0.0012777949287406671,0.010835700995720858,0.009557906066980192,0.14311303201895473,-0.13355512595197452,0.6455062740111751
random_forest,2012-01-03 13:50:51,dis,Communication Services,0.005081018685057341,508.1018685057341,0.0012702546712643353,0.1800204920115816,0.17875023734031725,0.08688541951448055,0.0918648178258367,0.6416971467410983
random_forest,2012-02-01 09:42:38,dfs,Unknown,0.005059597334310016,505.9597334310016,0.001264899333577504,0.20324402491923335,0.20197912558565584,0.07847435465514835,0.12350477093050749,0.6389917798637192
random_forest,2012-01-28 06:09:47,dlph,Unknown,0.005045210619750913,504.52106197509136,0.0012613026549377286,0.22496594153469324,0.2237046388797555,0.08329642733208759,0.14040821154766792,0.6371748383691515
random_forest,2012-01-28 15:18:06,dlph,Unknown,0.005040541175872228,504.05411758722283,0.001260135293968057,0.22475773103214267,0.2234975957381746,0.0832193348136505,0.1402782609245241,0.6365851202438015
random_forest,2012-03-20 11:47:16,lsi,Unknown,0.0049946358244336315,499.4635824433631,0.0012486589561084079,0.17456252206395542,0.17331386310784702,0.06652854918145597,0.10678531392639105,0.6307875952071538
random_forest,2012-11-18 19:25:34,amd,Information Technology,0.00498785801244508,498.78580124450804,0.00124696450311127,0.43174898955724617,0.4305020250541349,0.17183170852873303,0.25867031652540184,0.6299316049257183
random_forest,2013-05-10 12:59:12,aeo,Unknown,0.004932767391480262,493.27673914802614,0.0012331918478700654,-0.1958801931156812,-0.19711338496355127,0.08553418656826774,-0.282647571531819,0.6229740445472682
random_forest,2012-02-03 03:48:15,dfs,Unknown,0.0049283023700250565,492.83023700250567,0.0012320755925062641,0.1929923208101812,0.19176024521767493,0.07348098833707359,0.11827925688060134,0.6224101435452174
random_forest,2012-11-14 06:49:06,amd,Information Technology,0.004912249313525515,491.2249313525515,0.0012280623283813788,0.4046710984482319,0.40344303611985055,0.17079890863128216,0.2326441274885684,0.6203827547102729
random_forest,2012-03-09 23:59:18,zion,Unknown,0.004910101006397163,491.0101006397163,0.0012275252515992908,0.16443928270424102,0.16321175745264171,0.07610656559915603,0.08710519185348568,0.6201114385353017
random_forest,2012-02-04 11:55:01,dfs,Unknown,0.00490160065746899,490.16006574689897,0.0012254001643672474,0.19194668174648563,0.19072128158211837,0.07308286580286263,0.11763841577925574,0.6190379038778611
random_forest,2012-02-11 00:32:10,dfs,Unknown,0.004889830338120586,488.9830338120586,0.0012224575845301464,0.21143626382033415,0.210213806235804,0.07574347193748787,0.13447033429831612,0.6175513948114184
random_forest,2012-02-06 16:16:09,dfs,Unknown,0.004888018712482169,488.80187124821686,0.0012220046781205422,0.1983557993525264,0.19713379467440587,0.07253819769323538,0.12459559698117048,0.6173225991554304
random_forest,2013-06-26 13:46:05,ter,Unknown,0.004848810357578035,484.8810357578035,0.0012122025893945088,0.05920397446602781,0.057991771876633305,0.11850492513920718,-0.06051315326257388,0.6123708579732168
random_forest,2013-05-13 15:24:02,dsw,Unknown,0.0048485856982331595,484.858569823316,0.0012121464245582899,0.010763860250077615,0.009551713825519325,0.08969883541731345,-0.08014712159179413,0.6123424850681891
random_forest,2012-04-03 20:21:23,phm,Unknown,0.004845751045251778,484.5751045251778,0.0012114377613129444,0.5815870404511183,0.5803756026898054,0.05974811038795442,0.5206274923018509,0.6119844882091137
random_forest,2012-11-04 05:06:36,sfly,Unknown,0.004830248569517573,483.02485695175733,0.0012075621423793933,0.3503379287471096,0.34913036660473024,0.13355637294716088,0.21557399365756935,0.6100266338766119
random_forest,2012-11-11 18:31:25,pfe,Health Care,0.0048168006030573545,481.6800603057354,0.0012042001507643386,0.16169999624463538,0.16049579609387105,0.1500433387852366,0.01045245730863445,0.6083282497056639
random_forest,2012-02-13 01:32:02,dfs,Unknown,0.004792569258147477,479.2569258147477,0.0011981423145368693,0.18849174892294027,0.18729360660840338,0.07093002502058267,0.11636358158782072,0.6052680002056776
random_forest,2013-04-22 02:07:08,znga,Unknown,0.004789549472452609,478.9549472452609,0.0011973873681131522,0.19723364727559844,0.1960362599074853,0.10891435500357231,0.08712190490391299,0.6048866223788522
random_forest,2013-04-26 11:30:26,ntri,Unknown,0.004784378473869588,478.4378473869588,0.001196094618467397,0.4045670437504124,0.40337094913194504,0.09616600732477873,0.3072049418071663,0.6042335613999023
random_forest,2013-01-16 07:42:48,wmt,Consumer Staples,0.004763626263016764,476.36262630167636,0.001190906565754191,0.0649282259649185,0.06373731939916431,0.13314335405131855,-0.06940603465215424,0.601612702214324
random_forest,2013-05-10 05:43:27,znga,Unknown,0.004750564728676509,475.05647286765094,0.0011876411821691274,0.03676937099995618,0.03558172981778705,0.08237479239525067,-0.046793062577463615,0.5999631217192057
random_forest,2013-03-30 07:41:32,aeo,Unknown,0.004747350636915297,474.7350636915297,0.0011868376592288244,-0.15419394868700884,-0.15538078634623767,0.09864994623509989,-0.25403073258133757,0.5995572043942804
random_forest,2013-05-21 08:39:05,lsi,Unknown,0.004741927660769994,474.1927660769994,0.0011854819151924986,0.05173443077900064,0.05054894886380814,0.0731205245290733,-0.022571575665265166,0.5988723204103816
random_forest,2012-10-14 08:11:53,aeo,Unknown,0.004721799610607173,472.1799610607173,0.0011804499026517932,-0.16875711808310037,-0.16993756798575216,0.1050600413360096,-0.27499760932176176,0.5963302883574533
random_forest,2013-01-30 10:59:32,wmt,Consumer Staples,0.004683610014098901,468.36100140989015,0.0011709025035247253,0.04589937813816924,0.044728475634644514,0.10229004270792,-0.057561567073275484,0.5915072092401452
random_forest,2013-04-22 01:02:22,rsh,Unknown,0.004666864721075419,466.6864721075419,0.0011667161802688547,0.1463062090057144,0.14513949282544553,0.10612450375725502,0.03901498906819051,0.5893923957705327
random_forest,2013-04-25 05:44:22,flws,Unknown,0.004653815804601861,465.3815804601861,0.0011634539511504653,-0.004933044752877973,-0.0060964987040284385,0.09256439635353102,-0.09866089505755946,0.5877444088237871
random_forest,2012-01-29 10:20:33,dfs,Unknown,0.004640760233733236,464.07602337332355,0.001160190058433309,0.1946334842027719,0.1934732941443386,0.07596924502621308,0.11750404911812551,0.5860955814734546
random_forest,2012-10-14 22:45:50,wmt,Consumer Staples,0.004635732600206378,463.57326002063775,0.0011589331500515944,0.00417215934018574,0.0030132261901341453,0.1031450503545919,-0.10013182416445776,0.5854606264990648
random_forest,2013-01-21 13:19:18,amd,Information Technology,0.004627915268906093,462.79152689060936,0.0011569788172265233,0.3216863903416626,0.32052941152443604,0.12347277937441457,0.19705663215002145,0.5844733521941553
random_forest,2012-10-19 19:14:02,wmt,Consumer Staples,0.0046252291272528825,462.5229127252883,0.0011563072818132206,0.011794334274494849,0.010638026992681628,0.1123005632097,-0.10166253621701837,0.5841341112778254
random_forest,2012-04-21 13:17:23,len,Unknown,0.00224426337536085,224.426337536085,0.0005610658438402125,0.10960982325262392,0.1090487574087837,0.03413524593923853,0.07491351146954517,0.5822499369867449
random_forest,2012-01-01 09:30:57,ge,Industrials,0.004580789688294806,458.0789688294806,0.0011451974220737014,0.09889924937028485,0.09775405194821116,0.07324682711583394,0.024507224832377217,0.5785217207416448
random_forest,2012-08-31 00:07:24,bac,Financials,0.004575902600244877,457.5902600244877,0.0011439756500612192,0.35422062028495593,0.3530766446348947,0.08474571615653512,0.2683309284783596,0.5779045156786651
random_forest,2013-09-02 11:16:26,wmt,Consumer Staples,0.004531530437658776,453.1530437658776,0.001132882609414694,0.02909242540976934,0.027959542800354648,0.1132429456370928,-0.08528340283673816,0.5723006216780446
random_forest,2012-06-20 10:12:22,wmt,Consumer Staples,0.004524348411660227,452.4348411660227,0.0011310871029150567,0.04117157054610806,0.040040483443193005,0.08890344628912344,-0.04886296284593044,0.5713935819923527
random_forest,2012-03-09 07:00:14,wfc,Financials,0.004482835553918779,448.2835553918779,0.0011207088884796948,0.08396350992489873,0.08284280103641904,0.06948395108574107,0.013358849950677973,0.5661507982088375
random_forest,2013-04-22 02:26:51,wmt,Consumer Staples,0.004437826940931962,443.78269409319626,0.0011094567352329906,0.008520627726589368,0.007411170991356377,0.10091618463679282,-0.09350501364543644,0.5604665249710018
